"cle_retour_client";"note";"cle_produit";"ref_magasin";"date_achat";"libelle_source";"libelle_categorie";"recommandation"
157485;8;31;9;"2021-05-27";"téléphone";"service après-vente";"1"
157486;8;43;4;"2021-08-15";"email";"qualité produit";"0"
157487;9;79;67;"2021-03-21";"réseaux sociaux";"drive";"1"
157488;8;5;49;"2021-05-15";"email";"qualité produit";"1"
157489;7;125;35;"2021-01-06";"téléphone";"livraison";"1"
157490;7;19;46;"2021-07-02";"email";"service après-vente";"1"
157491;7;138;76;"2021-09-05";"email";"drive";"1"
157492;9;130;66;"2021-11-17";"email";"qualité produit";"1"
157493;8;139;20;"2021-10-04";"réseaux sociaux";"qualité produit";""
157494;8;36;57;"2021-06-02";"réseaux sociaux";"drive";""
157495;9;137;56;"2021-03-26";"réseaux sociaux";"livraison";""
157496;9;105;43;"2021-08-19";"réseaux sociaux";"qualité produit";""
157497;7;68;46;"2021-01-22";"email";"service après-vente";"1"
157498;8;100;16;"2021-08-06";"email";"expérience en magasin";"1"
157499;8;121;73;"2021-02-05";"téléphone";"expérience en magasin";"1"
157500;7;3;74;"2021-05-22";"email";"drive";"1"
157501;7;63;38;"2021-02-10";"téléphone";"drive";"1"
157502;8;104;9;"2021-02-22";"téléphone";"qualité produit";"1"
157503;7;51;56;"2021-02-17";"téléphone";"livraison";"1"
157504;9;71;38;"2021-05-23";"email";"qualité produit";"1"
157505;7;104;72;"2021-09-14";"téléphone";"qualité produit";"0"
157506;9;101;19;"2021-09-11";"email";"qualité produit";"1"
157507;9;95;13;"2021-09-30";"réseaux sociaux";"qualité produit";"1"
157508;9;11;32;"2021-01-09";"réseaux sociaux";"drive";""
157509;10;140;67;"2021-04-16";"réseaux sociaux";"service après-vente";""
157510;8;138;35;"2021-08-16";"email";"expérience en magasin";"1"
157511;9;24;64;"2021-08-27";"email";"livraison";"1"
157512;8;99;77;"2021-11-02";"téléphone";"qualité produit";"1"
157513;9;35;79;"2021-11-01";"téléphone";"service après-vente";"1"
157514;8;142;68;"2021-08-21";"email";"service après-vente";"1"
157515;7;127;39;"2021-10-18";"téléphone";"service après-vente";"0"
157516;9;133;31;"2021-05-14";"téléphone";"service après-vente";"1"
157517;8;105;1;"2021-12-01";"email";"expérience en magasin";"1"
157518;7;93;9;"2021-11-23";"email";"drive";"1"
157519;8;114;39;"2021-10-19";"réseaux sociaux";"drive";""
157520;7;52;6;"2021-06-10";"téléphone";"livraison";"1"
157521;9;72;63;"2021-07-16";"email";"qualité produit";"1"
157522;7;95;74;"2021-01-04";"téléphone";"drive";"1"
157523;8;98;82;"2021-04-14";"email";"qualité produit";"1"
157524;8;46;57;"2021-11-12";"email";"drive";"1"
157525;7;83;22;"2021-03-30";"email";"drive";"1"
157526;7;127;42;"2021-06-09";"réseaux sociaux";"expérience en magasin";""
157527;10;53;12;"2021-12-14";"réseaux sociaux";"service après-vente";""
157528;9;113;80;"2021-06-26";"email";"livraison";"1"
157529;8;62;17;"2021-07-30";"réseaux sociaux";"livraison";"1"
157530;8;6;50;"2021-12-18";"téléphone";"expérience en magasin";"1"
157531;10;106;54;"2021-03-24";"email";"expérience en magasin";"1"
157532;7;60;8;"2021-02-08";"email";"qualité produit";"1"
157533;8;135;50;"2021-12-07";"téléphone";"expérience en magasin";"1"
157534;7;6;60;"2021-05-16";"email";"expérience en magasin";"0"
157535;8;75;21;"2021-10-09";"téléphone";"expérience en magasin";"1"
157536;8;101;48;"2021-07-02";"email";"qualité produit";"1"
157537;10;136;62;"2021-02-27";"réseaux sociaux";"service après-vente";""
157538;7;119;70;"2021-04-21";"email";"qualité produit";"1"
157539;7;101;62;"2021-01-15";"email";"livraison";"0"
157540;9;32;70;"2021-04-09";"réseaux sociaux";"qualité produit";""
157541;8;79;7;"2021-04-03";"réseaux sociaux";"service après-vente";"1"
157542;8;91;65;"2021-02-03";"téléphone";"qualité produit";"1"
157543;9;71;40;"2021-05-14";"réseaux sociaux";"drive";"1"
157544;8;46;2;"2021-09-01";"réseaux sociaux";"livraison";"1"
157545;8;144;22;"2021-05-13";"email";"qualité produit";"1"
157546;7;111;45;"2021-03-05";"téléphone";"qualité produit";"1"
157547;7;139;60;"2021-01-23";"réseaux sociaux";"service après-vente";""
157548;8;43;51;"2021-03-04";"email";"service après-vente";"1"
157549;7;18;70;"2021-08-19";"téléphone";"drive";"0"
157550;9;42;4;"2021-06-17";"email";"qualité produit";"0"
157551;8;134;13;"2021-08-14";"téléphone";"livraison";"1"
157552;7;14;29;"2021-03-13";"email";"livraison";"1"
157553;7;28;58;"2021-06-09";"téléphone";"livraison";"1"
157554;7;138;10;"2021-01-16";"réseaux sociaux";"livraison";""
157555;7;72;42;"2021-09-24";"réseaux sociaux";"livraison";""
157556;10;118;38;"2021-07-08";"téléphone";"drive";"1"
157557;8;91;8;"2021-09-07";"réseaux sociaux";"expérience en magasin";"1"
157558;9;45;20;"2021-03-04";"téléphone";"drive";"1"
157559;9;118;82;"2021-09-19";"réseaux sociaux";"livraison";""
157560;8;88;43;"2021-02-26";"email";"livraison";"1"
157561;7;110;8;"2021-01-21";"réseaux sociaux";"livraison";""
157562;8;23;55;"2021-05-20";"réseaux sociaux";"service après-vente";"1"
157563;8;116;20;"2021-07-28";"réseaux sociaux";"qualité produit";"1"
157564;9;113;2;"2021-07-15";"téléphone";"livraison";"1"
157565;7;17;3;"2021-02-18";"téléphone";"drive";"1"
157566;7;124;15;"2021-02-19";"téléphone";"qualité produit";"1"
157567;7;95;69;"2021-07-15";"réseaux sociaux";"drive";""
157568;10;64;22;"2021-11-07";"réseaux sociaux";"livraison";""
157569;8;46;39;"2021-02-26";"téléphone";"qualité produit";"1"
157570;10;115;8;"2021-03-27";"réseaux sociaux";"qualité produit";""
157571;8;75;7;"2021-03-14";"téléphone";"expérience en magasin";"1"
157572;7;133;4;"2021-01-26";"email";"qualité produit";"1"
157573;8;55;79;"2021-12-16";"réseaux sociaux";"expérience en magasin";""
157574;8;100;77;"2021-08-04";"email";"expérience en magasin";"1"
157575;8;19;74;"2021-05-07";"réseaux sociaux";"qualité produit";"1"
157576;9;11;59;"2021-05-19";"réseaux sociaux";"livraison";""
157577;9;120;35;"2021-08-19";"email";"livraison";"1"
157578;10;101;27;"2021-12-05";"téléphone";"drive";"1"
157579;10;21;19;"2021-11-18";"téléphone";"expérience en magasin";"0"
157580;8;86;35;"2021-12-03";"téléphone";"expérience en magasin";"1"
157581;9;104;17;"2021-08-06";"email";"qualité produit";"1"
157582;8;114;14;"2021-10-27";"email";"expérience en magasin";"1"
157583;9;103;65;"2021-03-24";"email";"expérience en magasin";"1"
157584;9;94;35;"2021-11-12";"réseaux sociaux";"livraison";""
157585;8;69;59;"2021-08-26";"email";"service après-vente";"1"
157586;7;81;15;"2021-01-16";"réseaux sociaux";"service après-vente";""
157587;7;40;66;"2021-11-24";"réseaux sociaux";"service après-vente";""
157588;7;121;7;"2021-05-05";"email";"expérience en magasin";"1"
157589;7;105;58;"2021-02-09";"email";"service après-vente";"1"
157590;7;20;39;"2021-10-19";"email";"expérience en magasin";"1"
157591;7;27;33;"2021-04-16";"email";"livraison";"0"
157592;8;23;4;"2021-09-09";"email";"drive";"1"
157593;7;53;49;"2021-12-03";"email";"qualité produit";"1"
157594;7;87;38;"2021-01-25";"réseaux sociaux";"qualité produit";""
157595;10;28;22;"2021-08-17";"email";"service après-vente";"0"
157596;8;19;20;"2021-08-14";"téléphone";"service après-vente";"1"
157597;7;47;38;"2021-12-09";"téléphone";"drive";"1"
157598;9;130;54;"2021-06-10";"email";"expérience en magasin";"1"
157599;10;140;18;"2021-02-09";"téléphone";"drive";"1"
157600;7;66;2;"2021-04-04";"email";"drive";"1"
157601;8;32;73;"2021-10-11";"téléphone";"livraison";"1"
157602;9;93;77;"2021-02-10";"réseaux sociaux";"drive";""
157603;9;107;77;"2021-01-05";"email";"drive";"1"
157604;10;111;12;"2021-12-01";"téléphone";"qualité produit";"1"
157605;8;83;29;"2021-04-11";"email";"service après-vente";"1"
157606;2;3;83;"2021-11-13";"réseaux sociaux";"service après-vente";""
157607;8;134;34;"2021-04-19";"téléphone";"drive";"1"
157608;9;50;78;"2021-02-01";"email";"service après-vente";"1"
157609;8;69;80;"2021-09-23";"téléphone";"service après-vente";"1"
157610;6;138;56;"2021-06-19";"réseaux sociaux";"livraison";""
157611;7;104;79;"2021-06-23";"réseaux sociaux";"qualité produit";""
157612;7;91;76;"2021-07-21";"réseaux sociaux";"service après-vente";""
157613;10;35;73;"2021-04-15";"réseaux sociaux";"livraison";""
157614;10;55;12;"2021-12-16";"email";"qualité produit";"1"
157615;10;36;25;"2021-08-17";"téléphone";"livraison";"1"
157616;10;63;21;"2021-04-04";"réseaux sociaux";"livraison";""
157617;7;48;13;"2021-04-05";"téléphone";"drive";"1"
157618;8;125;14;"2021-02-11";"téléphone";"livraison";"1"
157619;7;143;71;"2021-06-05";"téléphone";"qualité produit";"0"
157620;10;84;38;"2021-03-31";"email";"livraison";"0"
157621;9;125;63;"2021-06-15";"téléphone";"drive";"1"
157622;9;42;2;"2021-12-20";"réseaux sociaux";"qualité produit";""
157623;9;117;21;"2021-05-14";"téléphone";"service après-vente";"0"
157624;8;32;46;"2021-02-09";"email";"livraison";"1"
157625;7;42;31;"2021-03-17";"email";"livraison";"0"
157626;10;79;54;"2021-09-22";"réseaux sociaux";"service après-vente";""
157627;8;73;35;"2021-08-16";"téléphone";"expérience en magasin";"1"
157628;8;102;41;"2021-05-04";"email";"livraison";"1"
157629;9;73;19;"2021-07-08";"réseaux sociaux";"service après-vente";""
157630;9;71;11;"2021-06-20";"téléphone";"livraison";"1"
157631;7;12;50;"2021-04-23";"email";"drive";"0"
157632;9;83;30;"2021-06-15";"téléphone";"expérience en magasin";"1"
157633;8;64;7;"2021-12-07";"téléphone";"service après-vente";"1"
157634;7;138;71;"2021-02-01";"téléphone";"drive";"0"
157635;8;88;57;"2021-08-05";"téléphone";"drive";"1"
157636;8;57;70;"2021-11-19";"téléphone";"drive";"1"
157637;9;119;19;"2021-02-06";"email";"service après-vente";"1"
157638;7;102;55;"2021-08-20";"email";"service après-vente";"0"
157639;7;79;73;"2021-10-01";"réseaux sociaux";"qualité produit";""
157640;10;86;75;"2021-07-25";"email";"expérience en magasin";"1"
157641;7;86;25;"2021-10-11";"email";"qualité produit";"1"
157642;8;112;58;"2021-12-24";"réseaux sociaux";"qualité produit";"1"
157643;8;26;67;"2021-08-28";"téléphone";"drive";"1"
157644;8;42;75;"2021-01-28";"email";"livraison";"1"
157645;6;10;67;"2021-04-10";"réseaux sociaux";"drive";""
157646;8;50;28;"2021-03-22";"email";"service après-vente";"1"
157647;10;123;14;"2021-07-10";"email";"qualité produit";"1"
157648;8;139;64;"2021-07-30";"réseaux sociaux";"service après-vente";"1"
157649;8;84;69;"2021-07-25";"email";"livraison";"1"
157650;8;128;29;"2021-04-26";"téléphone";"drive";"1"
157651;7;112;71;"2021-05-06";"email";"livraison";"1"
157652;10;143;73;"2021-12-06";"email";"service après-vente";"1"
157653;8;121;60;"2021-09-17";"téléphone";"service après-vente";"1"
157654;8;58;57;"2021-08-09";"réseaux sociaux";"expérience en magasin";""
157655;10;21;4;"2021-02-19";"téléphone";"expérience en magasin";"1"
157656;7;107;24;"2021-02-09";"téléphone";"drive";"1"
157657;10;119;38;"2021-03-09";"téléphone";"livraison";"1"
157658;8;139;21;"2021-09-24";"email";"expérience en magasin";"1"
157659;9;32;83;"2021-02-28";"réseaux sociaux";"service après-vente";""
157660;10;122;27;"2021-06-16";"téléphone";"expérience en magasin";"1"
157661;7;90;70;"2021-10-29";"téléphone";"drive";"0"
157662;8;42;67;"2021-10-13";"email";"service après-vente";"1"
157663;8;106;47;"2021-01-01";"téléphone";"livraison";"1"
157664;8;62;14;"2021-07-27";"téléphone";"livraison";"1"
157665;8;85;57;"2021-10-13";"email";"service après-vente";"1"
157666;10;10;67;"2021-07-25";"email";"livraison";"1"
157667;9;62;16;"2021-07-03";"réseaux sociaux";"drive";""
157668;8;5;47;"2021-07-11";"email";"livraison";"1"
157669;9;70;48;"2021-05-07";"email";"drive";"1"
157670;10;47;67;"2021-05-03";"email";"livraison";"1"
157671;10;93;2;"2021-01-14";"téléphone";"livraison";"1"
157672;8;18;4;"2021-08-18";"réseaux sociaux";"expérience en magasin";"1"
157673;8;131;51;"2021-04-13";"email";"qualité produit";"1"
157674;10;112;39;"2021-05-27";"téléphone";"livraison";"1"
157675;8;144;9;"2021-08-25";"email";"qualité produit";"1"
157676;9;81;59;"2021-09-08";"email";"livraison";"1"
157677;8;120;15;"2021-05-18";"email";"qualité produit";"1"
157678;9;99;6;"2021-09-03";"réseaux sociaux";"service après-vente";""
157679;10;43;76;"2021-02-17";"email";"livraison";"0"
157680;10;42;26;"2021-04-26";"email";"qualité produit";"1"
157681;8;60;81;"2021-01-11";"email";"expérience en magasin";"1"
157682;8;34;2;"2021-06-26";"réseaux sociaux";"expérience en magasin";"1"
157683;10;14;78;"2021-06-19";"réseaux sociaux";"livraison";""
157684;8;55;37;"2021-02-15";"téléphone";"livraison";"1"
157685;8;137;8;"2021-01-27";"email";"drive";"1"
157686;8;8;71;"2021-11-08";"réseaux sociaux";"service après-vente";"1"
157687;8;71;45;"2021-11-29";"email";"qualité produit";"1"
157688;7;40;40;"2021-03-02";"téléphone";"drive";"1"
157689;8;43;65;"2021-06-20";"réseaux sociaux";"expérience en magasin";"1"
157690;7;59;32;"2021-03-11";"réseaux sociaux";"expérience en magasin";""
157691;9;123;47;"2021-10-09";"téléphone";"livraison";"1"
157692;9;33;74;"2021-02-02";"réseaux sociaux";"drive";""
157693;8;29;1;"2021-10-10";"téléphone";"drive";"1"
157694;8;82;69;"2021-08-27";"email";"qualité produit";"1"
157695;8;129;10;"2021-12-09";"téléphone";"drive";"1"
157696;7;117;56;"2021-04-23";"téléphone";"livraison";"1"
157697;10;125;76;"2021-07-29";"téléphone";"livraison";"1"
157698;8;72;12;"2021-03-30";"email";"service après-vente";"1"
157699;8;71;37;"2021-02-03";"téléphone";"drive";"1"
157700;8;10;11;"2021-01-05";"téléphone";"qualité produit";"1"
157701;10;107;83;"2021-08-17";"téléphone";"service après-vente";"1"
157702;7;1;44;"2021-02-26";"email";"qualité produit";"1"
157703;7;122;24;"2021-05-03";"email";"qualité produit";"1"
157704;8;69;13;"2021-08-09";"réseaux sociaux";"drive";"1"
157705;7;56;28;"2021-05-27";"email";"qualité produit";"1"
157706;8;11;55;"2021-10-18";"téléphone";"expérience en magasin";"1"
157707;10;26;36;"2021-01-25";"téléphone";"expérience en magasin";"1"
157708;10;140;57;"2021-11-27";"téléphone";"drive";"1"
157709;10;95;78;"2021-07-10";"réseaux sociaux";"expérience en magasin";""
157710;10;34;47;"2021-12-16";"téléphone";"drive";"1"
157711;6;127;52;"2021-05-09";"réseaux sociaux";"livraison";""
157712;8;115;42;"2021-10-09";"téléphone";"expérience en magasin";"1"
157713;7;139;59;"2021-08-06";"réseaux sociaux";"livraison";""
157714;4;97;35;"2021-03-30";"email";"expérience en magasin";"0"
157715;7;87;30;"2021-09-19";"email";"qualité produit";"1"
157716;7;36;49;"2021-11-04";"téléphone";"drive";"1"
157717;4;38;82;"2021-06-19";"téléphone";"drive";"0"
157718;8;144;73;"2021-06-08";"téléphone";"drive";"1"
157719;8;88;20;"2021-02-23";"réseaux sociaux";"qualité produit";"1"
157720;8;62;8;"2021-05-14";"email";"drive";"1"
157721;8;85;69;"2021-07-05";"réseaux sociaux";"livraison";"1"
157722;8;102;15;"2021-05-29";"email";"qualité produit";"1"
157723;8;92;48;"2021-08-29";"réseaux sociaux";"drive";"1"
157724;8;38;59;"2021-05-22";"email";"service après-vente";"1"
157725;4;17;45;"2021-06-15";"réseaux sociaux";"drive";""
157726;10;6;49;"2021-05-31";"réseaux sociaux";"livraison";""
157727;8;89;64;"2021-10-31";"téléphone";"drive";"1"
157728;4;77;55;"2021-03-29";"téléphone";"livraison";"0"
157729;10;115;82;"2021-08-16";"réseaux sociaux";"expérience en magasin";""
157730;9;17;22;"2021-07-31";"réseaux sociaux";"drive";""
157731;9;40;41;"2021-01-15";"réseaux sociaux";"expérience en magasin";""
157732;9;17;79;"2021-03-08";"email";"expérience en magasin";"1"
157733;7;128;80;"2021-06-29";"réseaux sociaux";"qualité produit";""
157734;7;9;44;"2021-11-18";"email";"livraison";"0"
157735;4;63;3;"2021-06-21";"téléphone";"livraison";"0"
157736;7;144;54;"2021-02-08";"téléphone";"qualité produit";"1"
157737;8;94;64;"2021-07-14";"email";"livraison";"1"
157738;8;45;31;"2021-11-22";"email";"service après-vente";"1"
157739;10;19;19;"2021-01-05";"téléphone";"qualité produit";"1"
157740;8;118;62;"2021-02-18";"téléphone";"drive";"1"
157741;6;63;37;"2021-10-12";"réseaux sociaux";"expérience en magasin";""
157742;10;115;36;"2021-09-18";"téléphone";"drive";"1"
157743;8;134;53;"2021-03-15";"téléphone";"service après-vente";"0"
157744;8;120;83;"2021-05-24";"réseaux sociaux";"livraison";""
157745;7;96;63;"2021-04-02";"email";"drive";"0"
157746;8;125;26;"2021-09-08";"réseaux sociaux";"qualité produit";""
157747;10;100;35;"2021-04-14";"email";"livraison";"1"
157748;4;112;49;"2021-03-22";"téléphone";"expérience en magasin";"0"
157749;8;75;18;"2021-12-11";"réseaux sociaux";"drive";"1"
157750;8;93;48;"2021-09-18";"téléphone";"qualité produit";"1"
157751;8;51;45;"2021-05-14";"email";"drive";"1"
157752;8;14;26;"2021-10-08";"téléphone";"drive";"0"
157753;8;56;73;"2021-05-11";"téléphone";"qualité produit";"1"
157754;7;11;59;"2021-10-21";"téléphone";"expérience en magasin";"1"
157755;9;125;45;"2021-04-30";"réseaux sociaux";"qualité produit";""
157756;8;75;61;"2021-09-08";"réseaux sociaux";"service après-vente";""
157757;8;8;33;"2021-06-29";"email";"service après-vente";"1"
157758;8;89;17;"2021-01-09";"téléphone";"drive";"1"
157759;4;85;12;"2021-08-14";"téléphone";"service après-vente";"0"
157760;8;41;59;"2021-08-11";"téléphone";"expérience en magasin";"1"
157761;8;121;37;"2021-05-04";"email";"expérience en magasin";"0"
157762;8;34;46;"2021-05-17";"email";"expérience en magasin";"1"
157763;10;37;6;"2021-08-05";"réseaux sociaux";"drive";""
157764;8;32;55;"2021-10-02";"réseaux sociaux";"livraison";"1"
157765;8;110;1;"2021-04-06";"email";"qualité produit";"1"
157766;8;132;16;"2021-10-27";"réseaux sociaux";"qualité produit";""
157767;9;80;66;"2021-09-21";"téléphone";"drive";"1"
157768;10;71;1;"2021-03-19";"téléphone";"drive";"1"
157769;10;140;49;"2021-12-23";"téléphone";"livraison";"1"
157770;8;106;10;"2021-10-22";"email";"livraison";"1"
157771;10;31;76;"2021-05-23";"réseaux sociaux";"livraison";""
157772;8;92;23;"2021-08-18";"email";"qualité produit";"1"
157773;8;19;53;"2021-07-27";"email";"qualité produit";"1"
157774;8;74;58;"2021-02-09";"réseaux sociaux";"expérience en magasin";"1"
157775;9;62;11;"2021-06-18";"réseaux sociaux";"qualité produit";""
157776;8;74;30;"2021-12-15";"email";"drive";"1"
157777;8;45;40;"2021-08-06";"téléphone";"livraison";"0"
157778;9;7;12;"2021-12-19";"réseaux sociaux";"service après-vente";""
157779;8;70;47;"2021-04-17";"email";"drive";"1"
157780;10;42;5;"2021-06-08";"email";"service après-vente";"1"
157781;10;51;27;"2021-04-12";"téléphone";"livraison";"0"
157782;7;31;58;"2021-11-11";"email";"expérience en magasin";"1"
157783;7;79;74;"2021-09-01";"téléphone";"expérience en magasin";"1"
157784;8;70;72;"2021-06-13";"téléphone";"expérience en magasin";"1"
157785;10;113;5;"2021-12-03";"réseaux sociaux";"service après-vente";""
157786;8;91;26;"2021-02-27";"email";"qualité produit";"0"
157787;8;98;70;"2021-04-11";"email";"expérience en magasin";"1"
157788;8;73;61;"2021-01-25";"téléphone";"qualité produit";"0"
157789;9;35;71;"2021-03-23";"email";"expérience en magasin";"1"
157790;8;26;23;"2021-10-07";"téléphone";"qualité produit";"1"
157791;10;57;48;"2021-06-16";"réseaux sociaux";"qualité produit";""
157792;9;17;67;"2021-05-31";"réseaux sociaux";"service après-vente";""
157793;7;115;72;"2021-06-11";"réseaux sociaux";"qualité produit";""
157794;6;131;50;"2021-10-12";"réseaux sociaux";"expérience en magasin";""
157795;7;28;45;"2021-11-05";"email";"drive";"0"
157796;8;100;28;"2021-08-15";"réseaux sociaux";"qualité produit";"1"
157797;7;41;73;"2021-04-03";"email";"service après-vente";"1"
157798;8;128;6;"2021-03-01";"réseaux sociaux";"qualité produit";"1"
157799;8;17;30;"2021-02-08";"téléphone";"qualité produit";"1"
157800;8;107;69;"2021-03-27";"téléphone";"expérience en magasin";"1"
157801;8;59;55;"2021-07-05";"email";"qualité produit";"1"
157802;8;48;37;"2021-09-20";"téléphone";"service après-vente";"1"
157803;8;35;65;"2021-11-27";"email";"livraison";"1"
157804;8;91;67;"2021-07-29";"téléphone";"expérience en magasin";"1"
157805;8;2;65;"2021-04-30";"téléphone";"qualité produit";"1"
157806;4;67;28;"2021-11-01";"réseaux sociaux";"drive";""
157807;7;111;4;"2021-04-19";"réseaux sociaux";"qualité produit";""
157808;9;74;38;"2021-05-10";"réseaux sociaux";"service après-vente";""
157809;8;77;50;"2021-02-09";"téléphone";"livraison";"1"
157810;8;30;67;"2021-09-02";"réseaux sociaux";"drive";"1"
157811;4;26;81;"2021-01-19";"email";"drive";"0"
157812;4;69;70;"2021-12-10";"réseaux sociaux";"expérience en magasin";""
157813;10;65;51;"2021-10-10";"réseaux sociaux";"expérience en magasin";""
157814;10;60;14;"2021-02-23";"téléphone";"drive";"1"
157815;8;36;6;"2021-08-17";"téléphone";"qualité produit";"1"
157816;10;100;62;"2021-10-26";"téléphone";"qualité produit";"1"
157817;7;73;23;"2021-02-14";"réseaux sociaux";"expérience en magasin";""
157818;8;52;72;"2021-07-13";"réseaux sociaux";"expérience en magasin";"1"
157819;9;99;52;"2021-05-10";"réseaux sociaux";"qualité produit";""
157820;9;104;82;"2021-11-14";"réseaux sociaux";"livraison";""
157821;8;7;82;"2021-08-29";"réseaux sociaux";"drive";"1"
157822;7;35;82;"2021-07-04";"téléphone";"livraison";"1"
157823;8;134;68;"2021-10-30";"email";"livraison";"1"
157824;7;126;49;"2021-08-05";"email";"livraison";"1"
157825;8;20;27;"2021-03-03";"réseaux sociaux";"qualité produit";"1"
157826;9;99;71;"2021-10-18";"téléphone";"service après-vente";"1"
157827;8;9;38;"2021-01-28";"téléphone";"service après-vente";"1"
157828;8;77;18;"2021-02-17";"réseaux sociaux";"service après-vente";"1"
157829;6;11;44;"2021-10-04";"réseaux sociaux";"expérience en magasin";""
157830;6;63;14;"2021-07-22";"réseaux sociaux";"expérience en magasin";""
157831;8;117;11;"2021-12-07";"email";"drive";"1"
157832;8;96;57;"2021-07-18";"téléphone";"livraison";"1"
157833;8;30;15;"2021-04-25";"téléphone";"expérience en magasin";"0"
157834;7;57;83;"2021-11-10";"réseaux sociaux";"qualité produit";""
157835;7;19;45;"2021-01-16";"réseaux sociaux";"drive";""
157836;7;23;8;"2021-04-27";"réseaux sociaux";"qualité produit";""
157837;8;35;18;"2021-03-30";"téléphone";"qualité produit";"1"
157838;8;100;17;"2021-01-06";"téléphone";"service après-vente";"1"
157839;7;79;51;"2021-11-28";"téléphone";"service après-vente";"1"
157840;4;2;48;"2021-05-31";"réseaux sociaux";"livraison";""
157841;8;12;47;"2021-11-13";"téléphone";"livraison";"1"
157842;9;132;22;"2021-03-24";"téléphone";"qualité produit";"1"
157843;8;113;43;"2021-05-02";"réseaux sociaux";"drive";""
157844;7;89;60;"2021-06-03";"email";"qualité produit";"1"
157845;7;141;36;"2021-01-21";"email";"service après-vente";"1"
157846;8;132;43;"2021-11-25";"email";"service après-vente";"1"
157847;8;7;15;"2021-04-19";"réseaux sociaux";"service après-vente";"1"
157848;7;112;81;"2021-03-29";"réseaux sociaux";"expérience en magasin";""
157849;4;131;19;"2021-01-23";"téléphone";"drive";"1"
157850;7;87;71;"2021-01-25";"téléphone";"expérience en magasin";"1"
157851;7;63;27;"2021-07-05";"email";"qualité produit";"0"
157852;9;83;51;"2021-04-14";"réseaux sociaux";"expérience en magasin";""
157853;6;115;77;"2021-07-02";"réseaux sociaux";"service après-vente";""
157854;10;44;31;"2021-10-07";"email";"drive";"1"
157855;7;31;7;"2021-11-12";"email";"expérience en magasin";"1"
157856;7;40;72;"2021-12-22";"email";"expérience en magasin";"1"
157857;8;110;53;"2021-05-12";"email";"livraison";"1"
157858;9;54;5;"2021-12-25";"email";"expérience en magasin";"1"
157859;7;102;1;"2021-02-28";"réseaux sociaux";"service après-vente";""
157860;8;51;68;"2021-04-13";"email";"livraison";"1"
157861;4;116;54;"2021-10-02";"email";"drive";"0"
157862;6;59;79;"2021-03-28";"réseaux sociaux";"expérience en magasin";""
157863;9;113;30;"2021-04-15";"téléphone";"service après-vente";"1"
157864;8;58;82;"2021-12-17";"téléphone";"expérience en magasin";"1"
157865;8;100;44;"2021-04-01";"email";"service après-vente";"1"
157866;8;23;11;"2021-07-27";"réseaux sociaux";"qualité produit";""
157867;9;113;22;"2021-07-27";"téléphone";"service après-vente";"1"
157868;10;110;55;"2021-04-18";"téléphone";"drive";"1"
157869;9;30;53;"2021-06-01";"téléphone";"livraison";"1"
157870;8;69;17;"2021-01-12";"réseaux sociaux";"drive";""
157871;10;127;66;"2021-03-11";"réseaux sociaux";"drive";""
157872;7;75;17;"2021-08-16";"email";"drive";"1"
157873;7;127;76;"2021-06-18";"réseaux sociaux";"expérience en magasin";""
157874;10;66;27;"2021-04-23";"téléphone";"service après-vente";"1"
157875;8;27;16;"2021-06-30";"téléphone";"qualité produit";"1"
157876;8;112;17;"2021-11-02";"téléphone";"service après-vente";"1"
157877;10;90;45;"2021-06-20";"téléphone";"service après-vente";"1"
157878;10;39;36;"2021-02-15";"réseaux sociaux";"livraison";""
157879;7;136;14;"2021-06-19";"email";"drive";"1"
157880;8;41;16;"2021-07-13";"téléphone";"expérience en magasin";"1"
157881;8;30;42;"2021-07-16";"email";"drive";"1"
157882;9;140;26;"2021-05-10";"email";"qualité produit";"1"
157883;8;122;59;"2021-12-07";"réseaux sociaux";"livraison";"1"
157884;7;30;2;"2021-04-22";"email";"service après-vente";"0"
157885;7;118;12;"2021-11-16";"email";"expérience en magasin";"1"
157886;7;100;44;"2021-05-26";"téléphone";"expérience en magasin";"0"
157887;8;59;55;"2021-02-03";"téléphone";"qualité produit";"1"
157888;7;38;2;"2021-08-28";"email";"drive";"0"
157889;4;68;69;"2021-01-12";"email";"qualité produit";"0"
157890;7;66;77;"2021-05-21";"email";"expérience en magasin";"1"
157891;8;78;60;"2021-05-09";"email";"service après-vente";"1"
157892;10;109;62;"2021-06-19";"réseaux sociaux";"qualité produit";""
157893;7;9;69;"2021-11-06";"téléphone";"drive";"1"
157894;4;96;34;"2021-11-24";"réseaux sociaux";"drive";""
157895;7;108;15;"2021-04-07";"réseaux sociaux";"service après-vente";""
157896;7;115;2;"2021-10-20";"réseaux sociaux";"drive";"1"
157897;1;117;24;"2021-04-10";"réseaux sociaux";"livraison";""
157898;8;144;13;"2021-08-25";"réseaux sociaux";"drive";"1"
157899;7;111;14;"2021-09-27";"email";"expérience en magasin";"1"
157900;8;112;55;"2021-05-31";"téléphone";"service après-vente";"1"
157901;10;72;80;"2021-01-01";"email";"drive";"1"
157902;4;91;34;"2021-04-12";"téléphone";"expérience en magasin";"1"
157903;10;27;67;"2021-04-12";"email";"drive";"1"
157904;7;72;6;"2021-12-02";"email";"service après-vente";"1"
157905;4;19;73;"2021-11-04";"email";"expérience en magasin";"0"
